Year (year),Report Period (quarter),State Name (state_name),Age Group (age_group),Gender (gender),Unemployment Rate (value),State Code (state_code)
"2021","July-September","Himachal Pradesh","15 Years And Above","Male","10.4","02"
"2024","January-March","Andhra Pradesh","15 Years And Above","Person","6.3","28"
"2019","April-June","Jammu And Kashmir","15 Years And Above","Female","30.1","01"
"2024","January-March","Maharashtra","15-29 Years","Male","15.8","27"
"2023","July-September","West Bengal","15 Years And Above","Female","6.1","19"
"2021","July-September","Uttarakhand","15-29 Years","Person","40.7","05"
"2022","April-June","Uttarakhand","15 Years And Above","Person","11.5","05"
"2021","July-September","Assam","15-29 Years","Female","57.2","18"
"2019","January-March","Telangana","15-29 Years","Male","27.4","36"
"2020","January-March","Karnataka","15-29 Years","Female","14.1","29"
"2020","January-March","Maharashtra","All","Male","5.7","27"
"2021","January-March","Punjab","All","Person","7.6","03"
"2022","April-June","Haryana","All","Person","9.5","06"
"2022","October-December","Maharashtra","All","Male","6.3","27"
